"","link_direttore","link_descrizione","link_ricerca","link_pubblicazioni","link_servizi","link_competenze","link_collaborazioni","link_formazione","link_biblioteche","link_banchedati","link_focus","link_focus_ITA","links_logo","nome_ist","url","links_webist","links_mailist","links_pres_ist","indirizzo","tel","fax","web_site","direttore","mail","dipartimento"
"1","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=112","http://www.cnr.it/istituti/Descrizione_eng.html?cds=112","http://www.cnr.it/istituti/Ricerca_eng.html?cds=112","Pubblicazioni_eng.html?cds=112","http://www.cnr.it/istituti/Servizi_eng.html?cds=112","http://www.cnr.it/istituti/Competenze_eng.html?cds=112","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=112","http://www.cnr.it/istituti/Formazione_eng.html?cds=112","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=112","http://www.cnr.it/istituti/Banchedati_eng.html?cds=112","http://www.cnr.it/istituti/Focus_eng.html?cds=112","http://www.cnr.it/istituti/Focus.html?cds=112","http://www.cnr.it/istituti/","Centro di responsabilit� di attività scientifica IDAIC <","http://www.cnr.it/istituti/DatiGenerali.html?cds=112","http://www.idaic.cnr.it","mailto:segreteria@idaic.cnr.it","http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000635b2300b25bbe53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf","Via de' Barucci, 20 - 50127 FIRENZE FI Toscana","055-4399660","055-4399629","http://www.idaic.cnr.it","Professore ALBERTO GERMANO'    ","segreteria@idaic.cnr.it","Patrimonio Culturale"
"2","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=115","http://www.cnr.it/istituti/Descrizione_eng.html?cds=115","http://www.cnr.it/istituti/Ricerca_eng.html?cds=115","Pubblicazioni_eng.html?cds=115","http://www.cnr.it/istituti/Servizi_eng.html?cds=115","http://www.cnr.it/istituti/Competenze_eng.html?cds=115","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=115","http://www.cnr.it/istituti/Formazione_eng.html?cds=115","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=115","http://www.cnr.it/istituti/Banchedati_eng.html?cds=115","http://www.cnr.it/istituti/Focus_eng.html?cds=115","http://www.cnr.it/istituti/Focus.html?cds=115","http://www.cnr.it/istituti/","Istituto Nanoscienze","http://www.cnr.it/istituti/DatiGenerali.html?cds=115","http://www.nano.cnr.it","mailto:segreteria@nano.cnr.it","http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a608000000080000005f8f2e007942f953000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/rtf","Piazza San Silvestro 12 - 56127 Pisa PI TOSCANA","+39050509525","+39050509550","http://www.nano.cnr.it","Dott.ssa Lucia Sorba    Dirigente di Ricerca CNR","segreteria@nano.cnr.it",NA
"3","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=118","http://www.cnr.it/istituti/Descrizione_eng.html?cds=118","http://www.cnr.it/istituti/Ricerca_eng.html?cds=118","Pubblicazioni_eng.html?cds=118","http://www.cnr.it/istituti/Servizi_eng.html?cds=118","http://www.cnr.it/istituti/Competenze_eng.html?cds=118","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=118","http://www.cnr.it/istituti/Formazione_eng.html?cds=118","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=118","http://www.cnr.it/istituti/Banchedati_eng.html?cds=118","http://www.cnr.it/istituti/Focus_eng.html?cds=118","http://www.cnr.it/istituti/Focus.html?cds=118","http://www.cnr.it/istituti/","Istituto Nazionale per Studi ed Esperienze di Architettura Navale","http://www.cnr.it/istituti/DatiGenerali.html?cds=118","http://www.insean.cnr.it","mailto:segreteria.insean@cnr.it","http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a608000000080000005a0512002542f453000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf","Via di Vallerano, 139 - 00128 Roma RM Lazio","+39 06 502991","+39 06 5070619","http://www.insean.cnr.it","Dott. EMILIO FORTUNATO CAMPANA    ","segreteria.insean@cnr.it","Energia e Trasporti"
"4","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=052","http://www.cnr.it/istituti/Descrizione_eng.html?cds=052","http://www.cnr.it/istituti/Ricerca_eng.html?cds=052","Pubblicazioni_eng.html?cds=052","http://www.cnr.it/istituti/Servizi_eng.html?cds=052","http://www.cnr.it/istituti/Competenze_eng.html?cds=052","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=052","http://www.cnr.it/istituti/Formazione_eng.html?cds=052","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=052","http://www.cnr.it/istituti/Banchedati_eng.html?cds=052","http://www.cnr.it/istituti/Focus_eng.html?cds=052","http://www.cnr.it/istituti/Focus.html?cds=052","http://www.cnr.it/istituti/","Istituto dei materiali per l'elettronica ed il magnetismo","http://www.cnr.it/istituti/DatiGenerali.html?cds=052","http://www.imem.cnr.it","mailto:direttore-imem@imem.cnr.it","http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a608000000080000006adf0e00a55df353000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf","Parco Area delle Scienze 37/A - 43124 Parma PR Emilia Romagna","05212691 - 0521251205","0521269206","http://www.imem.cnr.it","Dott SALVATORE IANNOTTA    ","direttore-imem@imem.cnr.it",NA
"5","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=109","http://www.cnr.it/istituti/Descrizione_eng.html?cds=109","http://www.cnr.it/istituti/Ricerca_eng.html?cds=109","Pubblicazioni_eng.html?cds=109","http://www.cnr.it/istituti/Servizi_eng.html?cds=109","http://www.cnr.it/istituti/Competenze_eng.html?cds=109","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=109","http://www.cnr.it/istituti/Formazione_eng.html?cds=109","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=109","http://www.cnr.it/istituti/Banchedati_eng.html?cds=109","http://www.cnr.it/istituti/Focus_eng.html?cds=109","http://www.cnr.it/istituti/Focus.html?cds=109","http://www.cnr.it/istituti/./logoISC150minisitocnr.png?LO=01000000d9c8b7a6080000000800000026e620009de6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000","Istituto dei sistemi complessi","http://www.cnr.it/istituti/DatiGenerali.html?cds=109","http://www.isc.cnr.it","mailto:segreteria@isc.cnr.it","http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000a1111300352ffe53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf","Via dei Taurini 19 - 00185 Roma RM Lazio","0649934598","0645488003","http://www.isc.cnr.it","Prof. CLAUDIO CONTI    Direttore","segreteria@isc.cnr.it",NA
"6","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=001","http://www.cnr.it/istituti/Descrizione_eng.html?cds=001","http://www.cnr.it/istituti/Ricerca_eng.html?cds=001","Pubblicazioni_eng.html?cds=001","http://www.cnr.it/istituti/Servizi_eng.html?cds=001","http://www.cnr.it/istituti/Competenze_eng.html?cds=001","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=001","http://www.cnr.it/istituti/Formazione_eng.html?cds=001","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=001","http://www.cnr.it/istituti/Banchedati_eng.html?cds=001","http://www.cnr.it/istituti/Focus_eng.html?cds=001","http://www.cnr.it/istituti/Focus.html?cds=001","http://www.cnr.it/istituti/","Istituto di Acustica e Sensoristica ""Orso Mario Corbino""","http://www.cnr.it/istituti/DatiGenerali.html?cds=001","http://www.idasc.cnr.it","mailto:segreteria@idasc.cnr.it","http://www.cnr.it/istituti","Via del Fosso del Cavaliere, 100 - 00133 Roma RM Lazio","0645488482","0645488061","http://www.idasc.cnr.it","Dott. MAURIZIO POSCOLIERI    Direttore","segreteria@idasc.cnr.it",NA
"7","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=117","http://www.cnr.it/istituti/Descrizione_eng.html?cds=117","http://www.cnr.it/istituti/Ricerca_eng.html?cds=117","Pubblicazioni_eng.html?cds=117","http://www.cnr.it/istituti/Servizi_eng.html?cds=117","http://www.cnr.it/istituti/Competenze_eng.html?cds=117","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=117","http://www.cnr.it/istituti/Formazione_eng.html?cds=117","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=117","http://www.cnr.it/istituti/Banchedati_eng.html?cds=117","http://www.cnr.it/istituti/Focus_eng.html?cds=117","http://www.cnr.it/istituti/Focus.html?cds=117","http://www.cnr.it/istituti/","Istituto di Biologia Cellulare e Neurobiologia","http://www.cnr.it/istituti/DatiGenerali.html?cds=117","http://www.ibcn.cnr.it","mailto:direzione@ibcn.cnr.it","http://www.cnr.it/istituti","Via E. Ramarini, 32 - 00015 Monterotondo Scalo Roma RM Lazio","+39 0690091207","+39 0690091260","http://www.ibcn.cnr.it","Prof. FABIO MAMMANO    Direttore","direzione@ibcn.cnr.it",NA
"8","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=041","http://www.cnr.it/istituti/Descrizione_eng.html?cds=041","http://www.cnr.it/istituti/Ricerca_eng.html?cds=041","Pubblicazioni_eng.html?cds=041","http://www.cnr.it/istituti/Servizi_eng.html?cds=041","http://www.cnr.it/istituti/Competenze_eng.html?cds=041","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=041","http://www.cnr.it/istituti/Formazione_eng.html?cds=041","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=041","http://www.cnr.it/istituti/Banchedati_eng.html?cds=041","http://www.cnr.it/istituti/Focus_eng.html?cds=041","http://www.cnr.it/istituti/Focus.html?cds=041","http://www.cnr.it/istituti/","Istituto di Bioscienze e Biorisorse","http://www.cnr.it/istituti/DatiGenerali.html?cds=041","http://ibbr.cnr.it/ibbr/","mailto:direttore@ibbr.cnr.it","http://www.cnr.it/istituti","Via Giovanni Amendola, 165/A - 70126 Bari BA Puglia","0805583400","0805587566","http://ibbr.cnr.it/ibbr/","Dr. GIOVANNI GIUSEPPE VENDRAMIN    ","direttore@ibbr.cnr.it",NA
"9","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=116","http://www.cnr.it/istituti/Descrizione_eng.html?cds=116","http://www.cnr.it/istituti/Ricerca_eng.html?cds=116","Pubblicazioni_eng.html?cds=116","http://www.cnr.it/istituti/Servizi_eng.html?cds=116","http://www.cnr.it/istituti/Competenze_eng.html?cds=116","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=116","http://www.cnr.it/istituti/Formazione_eng.html?cds=116","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=116","http://www.cnr.it/istituti/Banchedati_eng.html?cds=116","http://www.cnr.it/istituti/Focus_eng.html?cds=116","http://www.cnr.it/istituti/Focus.html?cds=116","http://www.cnr.it/istituti/","Istituto di Farmacologia Traslazionale","http://www.cnr.it/istituti/DatiGenerali.html?cds=116","http://www.ift.cnr.it/gare/","mailto:segreteria@ift.cnr.it","http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000755b2300c45bbe53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/vnd.openxmlformats-officedocument.word","Via Fosso del Cavaliere 100 - 00133 Roma RM Lazio","06 4993 4486","06 45488257","http://www.ift.cnr.it/gare/","Prof. ANTONIO MASTINO    Direttore","segreteria@ift.cnr.it",NA
"10","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=060","http://www.cnr.it/istituti/Descrizione_eng.html?cds=060","http://www.cnr.it/istituti/Ricerca_eng.html?cds=060","Pubblicazioni_eng.html?cds=060","http://www.cnr.it/istituti/Servizi_eng.html?cds=060","http://www.cnr.it/istituti/Competenze_eng.html?cds=060","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=060","http://www.cnr.it/istituti/Formazione_eng.html?cds=060","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=060","http://www.cnr.it/istituti/Banchedati_eng.html?cds=060","http://www.cnr.it/istituti/Focus_eng.html?cds=060","http://www.cnr.it/istituti/Focus.html?cds=060","http://www.cnr.it/istituti/./logo-irgbBluebig.png?LO=01000000d9c8b7a608000000080000004de62000c4e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000","Istituto di Ricerca Genetica e Biomedica","http://www.cnr.it/istituti/DatiGenerali.html?cds=060","http://www.irgb.cnr.it","mailto:segreteria@irgb.cnr.it","http://www.cnr.it/istituti","Cittadella Universitaria di Cagliari - 09042 Monserrato CA Sardegna","0706754543","0706754652","http://www.irgb.cnr.it","Prof. FRANCESCO CUCCA    ","segreteria@irgb.cnr.it",NA
"11","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=071","http://www.cnr.it/istituti/Descrizione_eng.html?cds=071","http://www.cnr.it/istituti/Ricerca_eng.html?cds=071","Pubblicazioni_eng.html?cds=071","http://www.cnr.it/istituti/Servizi_eng.html?cds=071","http://www.cnr.it/istituti/Competenze_eng.html?cds=071","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=071","http://www.cnr.it/istituti/Formazione_eng.html?cds=071","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=071","http://www.cnr.it/istituti/Banchedati_eng.html?cds=071","http://www.cnr.it/istituti/Focus_eng.html?cds=071","http://www.cnr.it/istituti/Focus.html?cds=071","http://www.cnr.it/istituti/","Istituto di Ricerca su Innovazione e Servizi per lo Sviluppo","http://www.cnr.it/istituti/DatiGenerali.html?cds=071","http://www.iriss.cnr.it","mailto:direttore@iriss.cnr.it","http://www.cnr.it/istituti","Via Guglielmo Sanfelice, 8 - 80134 Napoli NA Campania","0812470953","0812470933","http://www.iriss.cnr.it","Dott ALFONSO MORVILLO    ","direttore@iriss.cnr.it","Identit������ Culturale"
"12","http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=067","http://www.cnr.it/istituti/Descrizione_eng.html?cds=067","http://www.cnr.it/istituti/Ricerca_eng.html?cds=067","Pubblicazioni_eng.html?cds=067","http://www.cnr.it/istituti/Servizi_eng.html?cds=067","http://www.cnr.it/istituti/Competenze_eng.html?cds=067","http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=067","http://www.cnr.it/istituti/Formazione_eng.html?cds=067","http://www.cnr.it/istituti/Biblioteche_eng.html?cds=067","http://www.cnr.it/istituti/Banchedati_eng.html?cds=067","http://www.cnr.it/istituti/Focus_eng.html?cds=067","http://www.cnr.it/istituti/Focus.html?cds=067","http://www.cnr.it/istituti/./logo150.png?LO=01000000d9c8b7a60800000008000000885f08007314f153000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000","Istituto di Ricerca sulla Crescita Economica Sostenibile","http://www.cnr.it/istituti/DatiGenerali.html?cds=067","http://www.ircres.cnr.it","mailto:segreteria@ircres.cnr.it","http://www.cnr.it/istituti","Via Real Collegio, 30 - 10024 Moncalieri TO Piemonte","0116824911","0116824966","http://www.ircres.cnr.it","Dott. SECONDO ROLFO    ","segreteria@ircres.cnr.it",NA
