id,sigla,Dipartimento,nome,link_generale,link_direttore,link_descrizione,link_ricerca,link_pubblicazioni,link_servizi,link_competenze,link_collaborazioni,link_formazione,link_biblioteche,link_banchedati,link_focus,link_focus_ITA,links_logo,nome_istituto,url,links_webist,links_mailist,links_pres_ist,indirizzo,web_site,direttore,mail,latitude,longitude
1,IDAIC ,"Scienze umane e sociali, patrimonio culturale",Centro di responsabilità di attività scientifica IDAIC ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=112,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=112,http://www.cnr.it/istituti/Descrizione_eng.html?cds=112,http://www.cnr.it/istituti/Ricerca_eng.html?cds=112,Pubblicazioni_eng.html?cds=112,http://www.cnr.it/istituti/Servizi_eng.html?cds=112,http://www.cnr.it/istituti/Competenze_eng.html?cds=112,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=112,http://www.cnr.it/istituti/Formazione_eng.html?cds=112,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=112,http://www.cnr.it/istituti/Banchedati_eng.html?cds=112,http://www.cnr.it/istituti/Focus_eng.html?cds=112,http://www.cnr.it/istituti/Focus.html?cds=112,NA,Centro di responsabilità di attività scientifica IDAIC ,http://www.cnr.it/istituti/DatiGenerali.html?cds=112,http://www.idaic.cnr.it,mailto:segreteria@idaic.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000635b2300b25bbe53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via de' Barucci, 20 - 50127 FIRENZE FI Toscana",http://www.idaic.cnr.it,Professore ALBERTO GERMANO'    ,segreteria@idaic.cnr.it,43.79202,11.22815
2,IMEM ,Scienze fisiche e tecnologie della materia,Istituto dei materiali per l'elettronica ed il magnetismo ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=052,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=052,http://www.cnr.it/istituti/Descrizione_eng.html?cds=052,http://www.cnr.it/istituti/Ricerca_eng.html?cds=052,Pubblicazioni_eng.html?cds=052,http://www.cnr.it/istituti/Servizi_eng.html?cds=052,http://www.cnr.it/istituti/Competenze_eng.html?cds=052,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=052,http://www.cnr.it/istituti/Formazione_eng.html?cds=052,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=052,http://www.cnr.it/istituti/Banchedati_eng.html?cds=052,http://www.cnr.it/istituti/Focus_eng.html?cds=052,http://www.cnr.it/istituti/Focus.html?cds=052,NA,Istituto dei materiali per l'elettronica ed il magnetismo,http://www.cnr.it/istituti/DatiGenerali.html?cds=052,http://www.imem.cnr.it,mailto:direttore-imem@imem.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a608000000080000006adf0e00a55df353000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,Parco Area delle Scienze 37/A - 43124 Parma PR Emilia Romagna,http://www.imem.cnr.it,Dott SALVATORE IANNOTTA    ,direttore-imem@imem.cnr.it,44.7627296,10.3143006
3,ISC ,Scienze chimiche e tecnologie dei materiali,Istituto dei sistemi complessi ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=109,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=109,http://www.cnr.it/istituti/Descrizione_eng.html?cds=109,http://www.cnr.it/istituti/Ricerca_eng.html?cds=109,Pubblicazioni_eng.html?cds=109,http://www.cnr.it/istituti/Servizi_eng.html?cds=109,http://www.cnr.it/istituti/Competenze_eng.html?cds=109,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=109,http://www.cnr.it/istituti/Formazione_eng.html?cds=109,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=109,http://www.cnr.it/istituti/Banchedati_eng.html?cds=109,http://www.cnr.it/istituti/Focus_eng.html?cds=109,http://www.cnr.it/istituti/Focus.html?cds=109,http://www.cnr.it/istituti/./logoISC150minisitocnr.png?LO=01000000d9c8b7a6080000000800000026e620009de6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto dei sistemi complessi,http://www.cnr.it/istituti/DatiGenerali.html?cds=109,http://www.isc.cnr.it,mailto:segreteria@isc.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000a1111300352ffe53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,Via dei Taurini 19 - 00185 Roma RM Lazio,http://www.isc.cnr.it,Prof. CLAUDIO CONTI ,segreteria@isc.cnr.it,41.89986,12.5105
4,IDASC ,Scienze chimiche e tecnologie dei materiali,"Istituto di Acustica e Sensoristica ""Orso Mario Corbino"" ",http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=001,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=001,http://www.cnr.it/istituti/Descrizione_eng.html?cds=001,http://www.cnr.it/istituti/Ricerca_eng.html?cds=001,Pubblicazioni_eng.html?cds=001,http://www.cnr.it/istituti/Servizi_eng.html?cds=001,http://www.cnr.it/istituti/Competenze_eng.html?cds=001,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=001,http://www.cnr.it/istituti/Formazione_eng.html?cds=001,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=001,http://www.cnr.it/istituti/Banchedati_eng.html?cds=001,http://www.cnr.it/istituti/Focus_eng.html?cds=001,http://www.cnr.it/istituti/Focus.html?cds=001,NA,"Istituto di Acustica e Sensoristica ""Orso Mario Corbino""",http://www.cnr.it/istituti/DatiGenerali.html?cds=001,http://www.idasc.cnr.it,mailto:segreteria@idasc.cnr.it,NA,"Via del Fosso del Cavaliere, 100 - 00133 Roma RM Lazio",http://www.idasc.cnr.it,Dott. MAURIZIO POSCOLIERI,segreteria@idasc.cnr.it,41.8396448,12.6488131
5,IASI ,"Ingegneria, ICT e tecnologie per l'energia e i trasporti","Istituto di analisi dei sistemi ed informatica ""Antonio Ruberti"" ",http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=003,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=003,http://www.cnr.it/istituti/Descrizione_eng.html?cds=003,http://www.cnr.it/istituti/Ricerca_eng.html?cds=003,Pubblicazioni_eng.html?cds=003,http://www.cnr.it/istituti/Servizi_eng.html?cds=003,http://www.cnr.it/istituti/Competenze_eng.html?cds=003,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=003,http://www.cnr.it/istituti/Formazione_eng.html?cds=003,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=003,http://www.cnr.it/istituti/Banchedati_eng.html?cds=003,http://www.cnr.it/istituti/Focus_eng.html?cds=003,http://www.cnr.it/istituti/Focus.html?cds=003,NA,"Istituto di analisi dei sistemi ed informatica ""Antonio Ruberti""",http://www.cnr.it/istituti/DatiGenerali.html?cds=003,http://www.iasi.cnr.it,mailto:iasi@iasi.cnr.it,NA,"Via dei Taurini, 19 - 00185 Roma RM Lazio",http://www.iasi.cnr.it,Dr. GIOVANNI RINALDI    ,iasi@iasi.cnr.it,41.89986,12.5105
6,IBP ,Scienze Biomediche,Istituto di biochimica delle proteine ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=007,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=007,http://www.cnr.it/istituti/Descrizione_eng.html?cds=007,http://www.cnr.it/istituti/Ricerca_eng.html?cds=007,Pubblicazioni_eng.html?cds=007,http://www.cnr.it/istituti/Servizi_eng.html?cds=007,http://www.cnr.it/istituti/Competenze_eng.html?cds=007,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=007,http://www.cnr.it/istituti/Formazione_eng.html?cds=007,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=007,http://www.cnr.it/istituti/Banchedati_eng.html?cds=007,http://www.cnr.it/istituti/Focus_eng.html?cds=007,http://www.cnr.it/istituti/Focus.html?cds=007,http://www.cnr.it/istituti/./logo IBP.jpg?LO=01000000d9c8b7a6080000000800000012e6200089e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di biochimica delle proteine,http://www.cnr.it/istituti/DatiGenerali.html?cds=007,http://www.ibp.cnr.it,mailto:d.corda@ibp.cnr.it,NA,Via Pietro Castellino n. 111 - 80131 Napoli NA Campania,http://www.ibp.cnr.it,Dr. DANIELA CORDA    ,d.corda@ibp.cnr.it,40.8545408,14.224848
7,IBF ,Scienze chimiche e tecnologie dei materiali,Istituto di biofisica ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=008,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=008,http://www.cnr.it/istituti/Descrizione_eng.html?cds=008,http://www.cnr.it/istituti/Ricerca_eng.html?cds=008,Pubblicazioni_eng.html?cds=008,http://www.cnr.it/istituti/Servizi_eng.html?cds=008,http://www.cnr.it/istituti/Competenze_eng.html?cds=008,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=008,http://www.cnr.it/istituti/Formazione_eng.html?cds=008,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=008,http://www.cnr.it/istituti/Banchedati_eng.html?cds=008,http://www.cnr.it/istituti/Focus_eng.html?cds=008,http://www.cnr.it/istituti/Focus.html?cds=008,NA,Istituto di biofisica,http://www.cnr.it/istituti/DatiGenerali.html?cds=008,http://www.ibf.cnr.it,mailto:direttore@ge.ibf.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a608000000080000001ae711000ef1ed53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via De Marini, 6 - Torre di Francia - 16149 Genova GE Liguria",http://www.ibf.cnr.it,Dott. MICHAEL PUSCH,direttore@ge.ibf.cnr.it,44.4087421,8.9016362
8,IBFM ,Scienze Biomediche,Istituto di bioimmagini e fisiologia molecolare ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=009,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=009,http://www.cnr.it/istituti/Descrizione_eng.html?cds=009,http://www.cnr.it/istituti/Ricerca_eng.html?cds=009,Pubblicazioni_eng.html?cds=009,http://www.cnr.it/istituti/Servizi_eng.html?cds=009,http://www.cnr.it/istituti/Competenze_eng.html?cds=009,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=009,http://www.cnr.it/istituti/Formazione_eng.html?cds=009,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=009,http://www.cnr.it/istituti/Banchedati_eng.html?cds=009,http://www.cnr.it/istituti/Focus_eng.html?cds=009,http://www.cnr.it/istituti/Focus.html?cds=009,NA,Istituto di bioimmagini e fisiologia molecolare,http://www.cnr.it/istituti/DatiGenerali.html?cds=009,http://www.ibfm.cnr.it,mailto:direzione@ibfm.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a608000000080000003fdc2d00931a0154000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via Fratelli Cervi, 93 - 20090 Segrate MI Lombardia",http://www.ibfm.cnr.it,Prof.ssa MARIA CARLA GILARDI    ,direzione@ibfm.cnr.it,45.502162,9.263061
9,IBAF ,Scienze del sistema Terra e tecnologie per l'ambiente,Istituto di biologia agro-ambientale e forestale ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=010,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=010,http://www.cnr.it/istituti/Descrizione_eng.html?cds=010,http://www.cnr.it/istituti/Ricerca_eng.html?cds=010,Pubblicazioni_eng.html?cds=010,http://www.cnr.it/istituti/Servizi_eng.html?cds=010,http://www.cnr.it/istituti/Competenze_eng.html?cds=010,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=010,http://www.cnr.it/istituti/Formazione_eng.html?cds=010,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=010,http://www.cnr.it/istituti/Banchedati_eng.html?cds=010,http://www.cnr.it/istituti/Focus_eng.html?cds=010,http://www.cnr.it/istituti/Focus.html?cds=010,NA,Istituto di biologia agro-ambientale e forestale,http://www.cnr.it/istituti/DatiGenerali.html?cds=010,http://www.ibaf.cnr.it,mailto:segreteria@ibaf.cnr.it,NA,"Via Guglielmo Marconi, 2 - 05010 Porano TR Umbria",http://www.ibaf.cnr.it,Dr. ANGELO MASSACCI    ,segreteria@ibaf.cnr.it,42.682225,12.100452
10,IBCN ,Scienze Biomediche,Istituto di Biologia Cellulare e Neurobiologia ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=117,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=117,http://www.cnr.it/istituti/Descrizione_eng.html?cds=117,http://www.cnr.it/istituti/Ricerca_eng.html?cds=117,Pubblicazioni_eng.html?cds=117,http://www.cnr.it/istituti/Servizi_eng.html?cds=117,http://www.cnr.it/istituti/Competenze_eng.html?cds=117,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=117,http://www.cnr.it/istituti/Formazione_eng.html?cds=117,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=117,http://www.cnr.it/istituti/Banchedati_eng.html?cds=117,http://www.cnr.it/istituti/Focus_eng.html?cds=117,http://www.cnr.it/istituti/Focus.html?cds=117,NA,Istituto di Biologia Cellulare e Neurobiologia,http://www.cnr.it/istituti/DatiGenerali.html?cds=117,http://www.ibcn.cnr.it,mailto:direzione@ibcn.cnr.it,NA,"Via E. Ramarini, 32 - 00015 Monterotondo Scalo Roma RM Lazio",http://www.ibcn.cnr.it,Prof. FABIO MAMMANO,direzione@ibcn.cnr.it,42.0836681,12.5939537
